账号,内容,时间,转发数,评论数 
wangFeng10025,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。单位。大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,2019年11月01日 14:20, 转发 ,评论 
妗慏,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,2019年10月27日 04:14, 转发 ,评论 
麦思投,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。嫪恋。布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,2019年10月20日 20:31, 转发 ,评论 
-芷瑶,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,2019年10月17日 15:41, 转发 ,评论 
青荼蘼,【#8岁白血病患儿遭遗弃在医院#律师：涉嫌遗弃罪】本报记者采访了北京德和衡律师事务所鲁冰。她表示，对于小馨怡被家属留到医院，仅留下2万元后家属即消失的事件，因孩子罹患白血病，且有较大治愈可能性，被家属遗弃可能造成死亡的严重后果，其家属的行为很可能构成遗弃罪。因为根据刑法的相关规定，负有扶养义务且有扶养能力的人，拒绝扶养年幼、年老、患病或者其他没有独立生活能力的家庭成员的，其抚养义务人可能构成遗弃罪。法律是人性的底线，馨怡作为未成年人，作为病人，应得到亲人的爱和照顾，此外，父亲过世留下的死亡赔偿金，馨怡也应享有相应的份额。希望馨怡的家人多关心孩子，给其提供健康快乐成长的环境，希望保护馨怡的首先是来自家人温暖的爱意，而不至于是最后的诉诸法律的强制。O8岁白血病患儿遭遗弃在医院 律师：涉嫌构成遗弃罪收起全文d,2019年10月16日 21:11, 转发 ,评论 
黎黎黎黎黎巴拉巴拉,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,2019年10月14日 09:14, 转发 ,评论 
小布丁13131313,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。公里。大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,2019年10月09日 18:36, 转发 ,评论 
蓝褶短裙i,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。组成。大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,2019年10月06日 16:25, 转发 ,评论 
刘刘0502,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。刚健。布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,2019年10月03日 14:01, 转发 ,评论 
郑嘉麒_K_zheng,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,2019年09月26日 17:00, 转发 ,评论 
裝控_linbin撕,【王凤雅家属回应不给治病质疑 志愿者称没想到一口答应去北京看病】针对于志愿者马婵娟称“凤雅家属就没想过救治凤雅”的说法，凤雅的爷爷称，他们带孩子跟着志愿者奔波到北京，去了北京儿童医院。“眼科医生说孩子奄奄一息，做手术没有意义，做化疗更不可能。我说再也不要折腾了，先保住孩子命要紧。...全文：O网页链接收起全文d,2019年09月25日 15:37, 转发 ,评论 
威李子,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。愁绪。以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,2019年09月21日 06:50, 转发 ,评论 
无缘15634,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。拥有。大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,2019年09月15日 03:54, 转发 ,评论 
英雄美人2Online,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。何以。以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,2019年09月12日 07:54, 转发 ,评论 
双玉小韬,【女童#王凤雅家属起诉大V#名誉侵权案将开庭，爷爷：赔上老命也要维权！被告：再遇到还会报警】女童王凤雅离世，网络大V“作家陈岚”曾发布微博“报警”，称其家属涉嫌遗弃、诈捐。8月14日，双方名誉权纠纷案将在上海闵行区法院开庭。开庭前，原告称“赔上老命也要维权”，被告则表示“再遇到这种事还会报警”。@风声视频#王凤雅家属起诉大V名誉侵权案#L风声视频的秒拍视频收起全文d,2019年08月13日 23:37, 转发 ,评论 
瘦到95吧,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。哀怨。以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,2019年08月26日 04:19, 转发 ,评论 
花瓣美图,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。粗犷。以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,2019年08月23日 10:53, 转发 ,评论 
周末愉快Mua,【女童#王凤雅家属起诉大V#名誉侵权案将开庭，爷爷：赔上老命也要维权！被告：再遇到还会报警】女童王凤雅离世，网络大V“作家陈岚”曾发布微博“报警”，称其家属涉嫌遗弃、诈捐。8月14日，双方名誉权纠纷案将在上海闵行区法院开庭。开庭前，原告称“赔上老命也要维权”，被告则表示“再遇到这种事还会报警”。@风声视频#王凤雅家属起诉大V名誉侵权案#L风声视频的秒拍视频收起全文d,2019年08月13日 23:37, 转发 ,评论 
丁铮律师,8月14日，备受关注的河南女童王凤雅家人起诉陈岚名誉侵权案开庭。该案未当庭宣判。2018年，河南周口3岁女童王凤雅罹患眼癌不幸去世的消息曾引发不少关注。王凤雅患病后，因为家庭经济条件，其家人曾在网络上向网友求助。但在王凤雅于2018年5月去世后，有网友质疑王凤雅家人“诈捐”，作家陈岚也曾在网上质疑家属没有积极治疗。后经相关部门调查，王凤雅家人不存在诈捐行为。2018年9月4日，王凤雅爷爷及母亲起诉陈岚名誉侵权，法院当天立案受理。收起全文d,2019年08月21日 10:21, 转发 ,评论 
小鸡炖蘑菇被注册了,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。短语。以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,2019年08月20日 19:04, 转发 ,评论 
三斤同学的碎碎念,几个后真相的新闻事件~重庆公交事故，真相也许简单又不堪（既有媒体报道的不谨慎之责又有社交媒体“情绪放大器”的助推）瑞典华人新闻，“受辱”的玻璃心（前期的网络舆论都源自“受辱”的心态共鸣）王凤雅事件，谣言等不及同理心（女童 癌症 贫困 众筹，几个关键词自动启动所有网民擅长的“脑补”技能，一时间王凤雅的家庭遭遇口诛笔伐）谁又能说，在这个原本苦难的家庭所忍受的重拳之中没有你失去理智时献出的一份力德阳女医生自杀，键盘的世界里罪无可恕（被精心挑选的真相，乘坐网络时代的戾气之车，很快飞遍角角落落。到底是别人罪不可恕，还是我们的情绪坏到没有退路。被情绪裹挟的群众，被谣言蛊惑的“键盘侠”甚至没有看全内容就挑选期间最刺眼，最容易引发效果的传播手段，带起更多的人扑向“后真相”）虚拟世界的语言暴力一点都不虚拟，不迷离，而是结结实实的审判。收起全文d,2019年08月17日 23:49, 转发 3,评论 
用户etz0a6cj1i,8月14日，河南周口眼癌女童王凤雅家人起诉陈岚名誉权案在上海市闵行区人民法院开庭。原告王凤雅的爷爷王太友、母亲杨美芹请求法庭判令陈岚停止侵犯其名誉权的行为;在河南和上海的相关媒体公开赔礼道歉，消除影响，恢复名誉;在陈岚的微博上公开置顶道歉，且置顶不少于两个月的时间;赔偿原告经济损...周口眼癌女童家人诉陈岚案开庭，志愿者行为成争议焦点O网页链接收起全文d,2019年08月17日 00:18, 转发 ,评论 
猫妈梅花娘子,"网友评论: ""那当我们老了，手里没余钱，失去生存能力，为不拖累儿女，就应该自我了断？不是每家的老人都是养老无忧的，遇到没生活来源的老人怎么处理？前提是父母没有对孩子做过什么特别过分的事情，无特别大的矛盾。觉得博主没正面回答提问呢！""------------------------------------我早就正面回答过了，你tm不想看见罢了，养老不能搞定，那就先去建设社会，改良制度，先别生育，你tm两腿一张就生了，把养老责任推卸给子女，这还叫""父母没有对孩子做过什么特别过分的事情，无特别大的矛盾""? 这是父母对子女最大的不负责任，父母和子女重大的矛盾冲突啊。另外，人老了，没有工作能力，但还有退休工资，投资理财，房产股票之类的终生积累，你tm都老了，还想怎么养老啊，不就根据自己一辈子的收入量力而行量入而出吗? 难道你老了就财产散尽，找你的孩子来兜底儿吗?那你肯定会说，人都有生病破产的风险，是的，所以上好保险啊。你tm都当老子了，这点常识还没有，你孩子那智商能比你高到哪去啊，他们年纪轻轻把钱都砸给你养老，没钱发展自己，你tm看得下去是吗?有句话说""不是老人变坏了，而是坏人变老了""，我也想跟你说一句: ""不是老人变穷了，而是穷人变老了""。你年轻时就穷，就笨，那就积点德别生育。看不透生老病死，瞎jb生什么生。老也就是那么回事儿而已，不会因为你生了孩子就不变老，你年轻时健康一点，聪明一点，进步一点，你老了，也不需要靠孩子养老。你年纪轻轻就指望靠孩子，你孩子大概率即不健康，也不聪明，还不进步，它都自身难保，你更靠不上它。收起全文d",2019年08月16日 18:22, 转发 2,评论 6
令狐小胖,#王凤雅家属诉陈岚案未当庭宣判#陈岚此事，什么是爱，什么是恶？其实就看从凤雅诊断出问题后家里人的做法就能知道一二了。送飞飞（凤雅弟弟）治疗后凤雅的病并非不知，而其后春节期间仍然能拿出十多万买辆小车，可见经济并非不宽裕，之后又有多次只是因为对志愿者不信任便要放弃大医院治疗，目的耐人寻味收起全文d,2019年08月16日 17:53, 转发 ,评论 11
屠龙的胭脂井,虽然陈岚是有一些黑历史，但她总归当初说王凤雅这事儿，还是站在小朋友角度去说的。但是当大V就是有风险，风险就在于，你一激动，可能就会被告侵犯名誉权，被打官司。当初不就是有个女生大V惹上刘强东，被索赔一百万吗？ 其实惹上刘强东不可怕。就可以完全把这件事娱乐化，就当炒作炒作给自己导流量。肯定粉丝再上一个数量级，卖点啥都可以赚回来。但你一激动，说错了凤雅家属这样的人，那他们确实真的是要钱，你也不能再炒作娱乐化这件事，否则你就“恶臭”了。所以钱真的要从自己腰包里掏（我没有任何评价谁的意思，就是客观这么一说）。有些人说，那知道这样，你们大V能不能闭嘴，别惹事啊。唉，人在江湖走，哪儿有不湿鞋。我就是告诉你们，粉丝多，既有可能吃肉，也很有可能“挨打”。我这张臭嘴，我就随时准备一笔钱不动。真怕被人告了，没钱赔。收起全文d,2019年08月16日 16:43, 转发 6,评论 74
营山检察,"【眼癌女童家人起诉陈岚案开庭 志愿者行为成争议焦点】原告王凤雅的爷爷王太友、母亲杨美芹请求法庭判令陈岚停止侵犯其名誉权的行为;在河南和上海的相关媒体公开赔礼道歉,消除影响,恢复名誉;在陈岚的微博上公开置顶道歉,且置顶不少于两个月的时间;赔偿原告经济损失8万元,医疗损失8365元,精神损失费5万元;承担原告聘请律师的费用3万元并承担诉讼费。O眼癌女童家人起诉陈岚案开庭 志愿者行为成争议焦点收起全文d",2019年08月16日 15:32, 转发 1,评论 5
中宏网河南,【河南周口眼癌女童凤雅家人起诉陈岚名誉侵权案开庭】　8月14日，河南周口眼癌女童王凤雅家人起诉陈岚名誉权案在上海市闵行区人民法院开庭。原告王凤雅的爷爷王太友、母亲杨美芹请求法庭判令陈岚停止侵犯其名誉权的行为；在河南和上海的相关媒体公开赔礼道歉，消除影响，恢复名誉；在陈岚的微博上公开置顶道歉，且置顶不少于两个月的时间；赔偿原告经济损失8万元，医疗损失8365元，精神损失费5万元；承担原告聘请律师的费用3万元并承担诉讼费。8月14日的庭审中，原被告及双方代理人均出庭。双方就陈岚发布的微博是否造成名誉侵权、王凤雅家人是否进行过积极治疗、经济赔偿数额是否合理等问题进行了举证和辩论。经过8个多小时的庭审，该案没有当庭宣判，且双方都表示拒绝调解。O网页链接收起全文d,2019年08月16日 14:56, 转发 ,评论 
伊人5200,常听说“生男生女”都一样，这就是一句正确的政治废话。真能一样，男女比例为什么会严重失衡？男的比女的多出6000万？00后的男女比例也是严重失衡的，男比女多出1300万，这些00后的父母大多是80/90后哦，依旧重男轻女哦。要是真能“生男生女”都一样，王凤雅现在应该还活蹦乱跳的。2广州·京溪收起全文d,2019年08月16日 14:22, 转发 ,评论 2
上海大喇叭,#上海大喇叭##上海身边事#【女童王凤雅家属诉陈岚案未当庭宣判：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。L一手video的秒拍视频收起全文d,2019年08月16日 12:43, 转发 ,评论 
济南市天桥区人民检察,【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月16日 11:17, 转发 ,评论 6
上海人生活资讯头条,#上海身边事#【女童王凤雅家属诉陈岚案未当庭宣判：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。一手VideoL一手video的秒拍视频收起全文d,2019年08月16日 10:19, 转发 118,评论 113
丽水检察,【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月16日 09:40, 转发 1,评论 4
石家庄帮忙,【#陈岚回应庭审焦点问题#原告律师：她发文是心虚】8月14日，#小凤雅家属诉陈岚案开庭#。经过8个多小时持续审理，该案当日并未宣判。8月15日晚，陈岚通过微博发表长文回应庭审焦点问题。针对陈岚微博长文，王凤雅母亲杨美芹代理律师施晓俊则回应@紧急呼叫称，不存在诈捐，陈岚发文系心虚表现。L紧急呼叫的秒拍视频收起全文d,2019年08月16日 09:34, 转发 1,评论 1
成都热点事儿,【#陈岚回应庭审焦点问题#原告律师：她发文是心虚】8月14日，#小凤雅家属诉陈岚案开庭#。经过8个多小时持续审理，该案当日并未宣判。8月15日晚，陈岚通过微博发表长文回应庭审焦点问题。针对陈岚微博长文，王凤雅母亲杨美芹代理律师施晓俊则回应@紧急呼叫称，不存在诈捐，陈岚发文系心虚表现。L紧急呼叫的秒拍视频收起全文d,2019年08月16日 08:58, 转发 ,评论 
紧急呼叫,【#陈岚回应庭审焦点问题#原告律师：她发文是心虚】8月14日，#小凤雅家属诉陈岚案开庭#。经过8个多小时持续审理，该案当日并未宣判。8月15日晚，陈岚通过微博发表长文回应庭审焦点问题。针对陈岚微博长文，王凤雅母亲杨美芹代理律师施晓俊则回应@紧急呼叫称，不存在诈捐，陈岚发文系心虚表现。L紧急呼叫的秒拍视频@新京报我们视频收起全文d,2019年08月16日 08:50, 转发 2,评论 2
新京报我们视频,【#陈岚回应庭审焦点问题#原告律师：她发文是心虚】8月14日，#小凤雅家属诉陈岚案开庭#。经过8个多小时持续审理，该案当日并未宣判。8月15日晚，陈岚通过微博发表长文回应庭审焦点问题。针对陈岚微博长文，王凤雅母亲杨美芹代理律师施晓俊则回应@紧急呼叫称，不存在诈捐，陈岚发文系心虚表现。L紧急呼叫的秒拍视频收起全文d,2019年08月16日 08:49, 转发 8,评论 106
青羊检察,“眼癌女童”案开庭 家属要求道歉并赔偿\8月14日，备受关注的河南女童王凤雅家人起诉陈岚名誉侵权案开庭。14日晚上6时许，北京青年报记者联系到王凤雅的爷爷王太友，王太友介绍，庭审从早上9点钟开始，到晚上6点多结束，当天没有宣判。王太友称，王凤雅母亲目前身体状况还不太好，家人打算8月15日回到老家，相信法院会有公正的判决。O“眼癌女童”案开庭 家属要求道歉并赔偿收起全文d,2019年08月16日 07:59, 转发 ,评论 
荔枝新闻,#小凤雅家属诉陈岚案互指造假#【小凤雅家属起诉陈岚名誉侵权案未当庭宣判：双方互指“造假”】8月14日，河南眼癌去世女童小凤雅家属起诉陈岚名誉侵权案在上海市闵行区人民法院开庭。经长达10小时的庭审，本案并未当庭宣判，原被告双方均表示不愿接受调解。庭审后，小凤雅家属的代理律师告诉荔枝新闻，陈岚一方的4个证人与陈岚有利害关系，且当庭说谎被拆穿；而陈岚也通过微博称王家所言前后矛盾。此外，记者在太康县人民政府网站看到公告：筹款的38638元中，37337元用于王凤雅治疗，余款1301元已全部捐赠给太康县慈善会，不构成诈捐。而陈岚则确信王家人无法出示小凤雅当初治疗时的票据，并称“太康公安背了很多次锅”。本案将择日宣判。#小凤雅事件##小凤雅家属诉陈岚案择日宣判#收起全文d,2019年08月15日 21:02, 转发 1,评论 2
宝鸡检察,【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月15日 20:57, 转发 ,评论 1
成都商报,【#小凤雅家属起诉陈岚案开庭#陈岚：作为被告，我以此为荣】#陈岚回应小凤雅案#8月14日，河南眼癌女童小凤雅家属起诉作家陈岚名誉权纠纷一案在上海市闵行区人民法院公开开庭审理。王凤雅家属请求法院判令被告陈岚在多家媒体公开赔礼道歉、消除影响、恢复名誉，赔偿经济损失8万元等。在法庭上，陈岚称，其发微博的行为是在履行一个公民的监督权，是为了“推动国内儿童权益保护”。“今天作为被告，我以此为荣。”她说。双方均表示不愿接受调解，本案未当庭宣判。双方争议焦点有哪些？详情戳→O网页链接L红星视频的秒拍视频收起全文d,2019年08月15日 20:51, 转发 2,评论 27
红星新闻,【#小凤雅家属起诉陈岚案开庭#陈岚：作为被告，我以此为荣】#陈岚回应小凤雅案#8月14日，河南眼癌女童小凤雅家属起诉作家陈岚名誉权纠纷一案在上海市闵行区人民法院公开开庭审理。王凤雅家属请求法院判令被告陈岚在多家媒体公开赔礼道歉、消除影响、恢复名誉，赔偿经济损失8万元等。在法庭上，陈岚称，其发微博的行为是在履行一个公民的监督权，是为了“推动国内儿童权益保护”。“今天作为被告，我以此为荣。”她说。双方均表示不愿接受调解，本案未当庭宣判。双方争议焦点有哪些？详情戳→O网页链接O网页链接L红星视频的秒拍视频收起全文d,2019年08月15日 19:23, 转发 9,评论 42
广东检察,【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。Via检察日报L一手video的秒拍视频收起全文d,2019年08月15日 18:10, 转发 3,评论 3
域外散修,【代理律师梳理庭审焦点：#陈岚否认小凤雅母亲患抑郁#】8月14日，#小凤雅家属诉陈岚案开庭#庭审结束后，小凤雅母亲代理律师梳理了焦点问题：①原告有无杜撰事实；②有无诈捐事实；③有没有遭受到对方侵权的事实。其称，凤雅母亲遭受网络攻击后患抑郁症，但@作家陈岚否认，并对抑郁病治疗费提出异议。L新京报我们视频的秒拍视频收起全文d,2019年08月15日 09:57, 转发 ,评论 
继父继女真恩爱,【女童#王凤雅家属起诉大V#名誉侵权案将开庭，爷爷：赔上老命也要维权！被告：再遇到还会报警】女童王凤雅离世，网络大V“作家陈岚”曾发布微博“报警”，称其家属涉嫌遗弃、诈捐。8月14日，双方名誉权纠纷案将在上海闵行区法院开庭。开庭前，原告称“赔上老命也要维权”，被告则表示“再遇到这种事还会报警”。@风声视频#王凤雅家属起诉大V名誉侵权案#L风声视频的秒拍视频收起全文d,2019年08月13日 23:37, 转发 ,评论 
济南市人民检察院,【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月15日 17:14, 转发 2,评论 
Alex是盗火之神,新京报的这篇文章我仔细看了。我提出我的观点：不像新闻工作者，没有基本的事件来龙去脉的调查和客观陈述。文章里面的情绪很大，感觉就像利用“底层大众”对社会问题的质疑而挑起事端一样。1 没有对王凤雅一家在孩子生病后，医生医嘱，疾病等的客观报道。2 没有对孩子生病后，采取治疗的费用明细。3 没有对滴水筹里面的善款使用做详细说明的采访。这三条是很关键的，新京报一概而论，没有任何说明。二段写了此事件对王家的重创。三段写了价值观碰撞。但都是哀嚎“精英”对“底层”的碾压。貌似社会文明不存在于这篇文章。孩子的命不值钱，众人的爱心不值钱，唯有所谓的“尊严”最值钱。收起全文d,2019年08月15日 17:13, 转发 2,评论 4
黄河口检察在线,【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月15日 17:10, 转发 ,评论 
临泽检察,#小凤雅家属诉陈岚案开庭#【小凤雅奶奶：养大8个孩子没要过邻居一瓢面，募捐的3万多块毁了全家】8月14日，河南“眼癌女童”王凤雅家属起诉作家陈岚名誉侵权一案在上海闵行区人民法院开庭审理。作家陈岚去年4月曾实名指控称患有视网膜母细胞瘤的女童王凤雅遭到亲生父母“虐待”致死，指其家人“重男轻女”“骗捐”，引发舆论战。后来这些信息均被证实是不实信息。经警方调查确认，王凤雅家属主要通过水滴筹募得善款35689元，及其他善款2949元，共计38638元。除了给凤雅看病，王太友把剩余的一千多块钱捐给了当地慈善机构。“网上那些都是虚假新闻，网上都是他们在说，自己连澄清的机会都没有”。王凤雅家人决意要澄清事实，还他们一个清白。他们觉得陈岚给自己的家庭带来了莫大的伤害。提起凤雅的事，奶奶李兰英哭诉着，说自己养大了六个闺女俩儿子没有问邻居要过一瓢面，可凤雅这三万多块钱就毁了他们一个家。O网页链接L七环视频的微博视频收起全文d,2019年08月15日 16:57, 转发 ,评论 30
海勃湾检察,【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月15日 14:30, 转发 ,评论 
蚌埠检察,【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月15日 16:55, 转发 ,评论 
梦龙影像,【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月15日 16:54, 转发 ,评论 
历下检察,【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月15日 16:52, 转发 ,评论 6
